Vorname,Nachname,Passwort,Abteilung,Position
Nick,Valentine,P@ssw0rd,IT,AbtLtr
Piper,Wright,P@ssw0rd,IT,Mitarbeiter
John,Hancock,P@ssw0rd,IT,Mitarbeiter
Sole,Survivor,P@ssw0rd,IT,Mitarbeiter
Jacob,Orden,P@ssw0rd,IT,Mitarbeiter
James,Wire,P@ssw0rd,IT,Mitarbeiter
Jun,Long,P@ssw0rd,IT,Praktikant
Robert,MacReady,P@ssw0rd,Support,AbtLtr
Ronnie,Shaw,P@ssw0rd,Support,Mitarbeiter
Madison,Li,P@ssw0rd,Support,Mitarbeiter
Brian,Fitzgerald,P@ssw0rd,Support,Mitarbeiter
Marcy,Long,P@ssw0rd,Support,Mitarbeiter
Mama,Murphy,P@ssw0rd,Support,Mitarbeiter
Blake,Abernathy,P@ssw0rd,Support,Praktikant
Jonas,Meier,P@ssw0rd,Vertrieb,AbtLtr
Leon,Mueller,P@ssw0rd,Vertrieb,Mitarbeiter
Luca,Meier,P@ssw0rd,Vertrieb,Mitarbeiter
Elias,Mueller,P@ssw0rd,Vertrieb,Mitarbeiter
Noah,Schulze,P@ssw0rd,Vertrieb,Mitarbeiter
Finn,Meier,P@ssw0rd,Vertrieb,Mitarbeiter
Mia,Schulze,P@ssw0rd,Vertrieb,Praktikant
Emma,Mueller,P@ssw0rd,Management,AbtLtr
Leonie,Meier,P@ssw0rd,Management,Mitarbeiter
Marie,Schulze,P@ssw0rd,Management,Mitarbeiter
Paul,Mueller,P@ssw0rd,Management,Mitarbeiter
Emilia,Schulze,P@ssw0rd,Management,Mitarbeiter
Marie,Meier,P@ssw0rd,Management,Mitarbeiter
Lena,Schulze,P@ssw0rd,Management,Praktikant
Anna,Mueller,P@ssw0rd,Einkauf,AbtLtr
Liam,Schulze,P@ssw0rd,Einkauf,Mitarbeiter
Anna,Schulze,P@ssw0rd,Einkauf,Mitarbeiter
Jonas,Mueller,P@ssw0rd,Einkauf,Mitarbeiter
Marie,Mueller,P@ssw0rd,Einkauf,Mitarbeiter
Paul,Meier,P@ssw0rd,Einkauf,Mitarbeiter
Emilia,Meier,P@ssw0rd,Einkauf,Praktikant
